datetime,open,high,low,close,volume
2026-04-22 15:25:00,24655,24665.6,24649.5,24660.4,11440
2026-04-23 09:15:00,24555,24555,24401,24452.1,34905
2026-04-23 09:20:00,24452.1,24482.9,24450,24463.4,7930
2026-04-23 09:25:00,24463.4,24476,24440,24471,12675
2026-04-23 09:30:00,24471,24500,24452,24456,5525
2026-04-23 09:35:00,24456,24470,24440,24462,5005
2026-04-23 09:40:00,24462,24495,24451.7,24495,3185
2026-04-23 09:45:00,24495,24519,24480.1,24516.4,4225
2026-04-23 09:50:00,24519,24549,24516.9,24530.4,6370
2026-04-23 09:55:00,24530.4,24545,24530,24534,3770
2026-04-23 10:00:00,24534,24554.2,24517.1,24550,7085
2026-04-23 10:05:00,24550,24550,24530.8,24535,3510
2026-04-23 10:10:00,24535,24535,24515.2,24517,1950
2026-04-23 10:15:00,24517,24536,24515.2,24531.7,1820
2026-04-23 10:20:00,24531.7,24543,24520,24525,1300
2026-04-23 10:25:00,24525,24525,24510,24510,4030
2026-04-23 10:30:00,24510,24510,24490,24490,2860
2026-04-23 10:35:00,24490,24499.9,24465,24479.1,4485
2026-04-23 10:40:00,24479.1,24479.1,24460,24465,780
2026-04-23 10:45:00,24465,24465,24430,24448,7085
2026-04-23 10:50:00,24448,24465.3,24434.2,24461.3,5330
2026-04-23 10:55:00,24461.3,24461.3,24440,24461.3,2795
2026-04-23 11:00:00,24461.3,24469.9,24453.6,24468,2210
2026-04-23 11:05:00,24468,24468,24451.1,24454.2,1820
2026-04-23 11:10:00,24454.2,24454.2,24430.2,24438.9,3120
2026-04-23 11:15:00,24438.9,24452.1,24430.3,24435,2340
2026-04-23 11:20:00,24435,24453.9,24433.4,24436,4550
2026-04-23 11:25:00,24436,24452.2,24431.8,24452.2,5135
2026-04-23 11:30:00,24452.2,24459.3,24440.1,24448,1820
2026-04-23 11:35:00,24448,24450.1,24430,24440,2210
2026-04-23 11:40:00,24440,24457.2,24439,24446.3,520
2026-04-23 11:45:00,24446.3,24456,24434,24444.9,1235
2026-04-23 11:50:00,24444.9,24470,24438.7,24464.9,2145
2026-04-23 11:55:00,24464.9,24470.3,24464.9,24467,1170
2026-04-23 12:00:00,24467,24471.2,24452,24452,1300
2026-04-23 12:05:00,24452,24472,24444,24472,910
